division,level,tournament,date,team1rough,team1_goals,team1_spirit,team2rough,team2_goals,team2_spirit,team1full,team2full,team1_strength,team2_strength,team1_goal_diff,team2_goal_diff,year,team1full_AUC_placing,team2full_AUC_placing,team1_division,team2_division,team1_ELO_before,team2_ELO_before,team1_ELO_after,team2_ELO_after,team1form_10,team2form_10,team1_H2H_win_rate,team2_H2H_win_rate
Opens,National,EUC2017,2017-02-25,Colony Pillage,13,10,Ironbark A,6,9,Colony Pillage AUC2017,Ironbark AUC2017,F,,7,-7,2017,1.0,,Division 1,Division 2,1525.8829564610846,1184.4550017438462,1541.8007695602737,1168.5371886446571,1.0,0.3333333333333333,0.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Plunder,13,9,Nomads,0,?,Colony Plunder AUC2017,Nomads AUC2017,F,,13,-13,2017,7.0,,Division 1,Division 2,1579.7542882855523,1161.8034695249837,1605.3877959878862,1136.1699618226498,1.0,0.0,0.0,0.0
Opens,National,EUC2017,2017-02-25,Combine - IWU & DUFF,13,14,Fyshwick Unit,9,10,Combine - IWU & DUFF AUC2017,Fyshwick Unit AUC2017,,,4,-4,2017,,,Division 2,Division 2,1204.725901674781,1134.718141830214,1222.7418985630754,1116.7021449419196,0.4,0.0,1.0,0.0
Opens,National,EUC2017,2017-02-25,Newcastle I-Beam,13,11,Combine - IWU & DUFF,3,?,Newcastle I-Beam AUC2017,Combine Thresh - IWU & DUFF AUC2017,M,,10,-10,2017,3.0,,Division 1,Division 2,1514.318458363842,1222.7418985630754,1532.1161572971164,1200.4947748964823,0.6666666666666666,0.5,1.0,0.0
Opens,National,EUC2017,2017-02-25,Bench Ultimate B,11,8,Ironbark A,10,11,Brunch Cooked AUC2017,Ironbark AUC2017,,,1,-1,2017,,,Division 2,Division 2,1185.7677638522332,1168.5371886446571,1200.3987988500658,1153.9061536468246,0.5,0.25,1.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Pillage,13,9,Fyshwick University,4,10,Colony Pillage AUC2017,Fyshwick University AUC2017,F,,9,-9,2017,1.0,,Division 1,Division 2,1541.8007695602737,1220.9614380081532,1561.6791773113516,1201.0830302570753,1.0,1.0,0.0,0.0
Opens,National,EUC2017,2017-02-25,The Rum Corps,13,10,Manly Ultimate,4,12,The Rum Corps AUC2017,Manly MUGs AUC2017,,M,9,-9,2017,,21.0,Division 2,Division 2,1177.0870548106543,1183.701646348964,1207.044041147849,1159.7360572792086,0.3333333333333333,0.0,0.0,0.0
Opens,National,EUC2017,2017-02-25,Fyshwick United,10,10,Newcastle I-Beam,9,10,Fyshwick United AUC2017,Newcastle I-Beam AUC2017,,M,1,-1,2017,12.0,3.0,Division 1,Division 1,1545.5329584994477,1532.1161572971164,1560.3118926024829,1520.2930100146882,0.75,0.75,0.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Plunder,11,8,Combine - IWU & DUFF,9,?,Colony Plunder AUC2017,Combine - IWU & DUFF AUC2017,F,,2,-2,2017,7.0,,Division 1,Division 2,1605.3877959878862,1200.4947748964823,1611.3802106088572,1194.5023602755114,1.0,0.42857142857142855,0.0,0.0
Opens,National,EUC2017,2017-02-25,Fyshwick Unit,13,12,Nomads,5,13,Fyshwick Unit AUC2017,Nomads AUC2017,,,8,-8,2017,,,Division 2,Division 2,1116.7021449419196,1136.1699618226498,1145.3577981659218,1107.5143085986476,0.0,0.0,0.0,0.0
Opens,National,EUC2017,2017-02-25,Bench Ultimate,13,7,The Rum Corps,11,11,Brunch Smashed AUC2017,The Rum Corps AUC2017,F,,2,-2,2017,5.0,,Division 1,Division 2,1515.5759764548188,1207.044041147849,1523.085340050552,1199.5346775521157,0.6666666666666666,0.5,0.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Pillage,13,10,Bench Ultimate B,5,10,Colony Pillage AUC2017,Brunch Cooked AUC2017,F,,8,-8,2017,1.0,,Division 1,Division 2,1561.6791773113516,1200.3987988500658,1579.0784960646145,1182.999480096803,1.0,0.6,0.0,0.0
Opens,National,EUC2017,2017-02-25,Ironbark A,9,8,Fyshwick University,12,10,Ironbark AUC2017,Fyshwick University AUC2017,,,-3,3,2017,,,Division 2,Division 2,1153.9061536468246,1201.0830302570753,1136.82808046963,1218.16110343427,0.2,0.5,0.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Plunder,12,10,Newcastle I-Beam,8,?,Colony Plunder AUC2017,Newcastle I-Beam AUC2017,F,M,4,-4,2017,7.0,3.0,Division 1,Division 1,1611.3802106088572,1520.2930100146882,1628.6198349931728,1506.5013105072358,1.0,0.6,0.0,0.0
Opens,National,EUC2017,2017-02-25,Fyshwick United,13,9,Combine - IWU & DUFF,7,10,Fyshwick United AUC2017,Combine - IWU & DUFF AUC2017,,,6,-6,2017,12.0,,Division 1,Division 2,1560.3118926024829,1194.5023602755114,1574.0424016986465,1180.7718511793478,0.8,0.375,1.0,0.0
Opens,National,EUC2017,2017-02-25,Bench Ultimate B,13,8,Combine - IWU & DUFF,4,11,Brunch Cooked AUC2017,Combine Thresh - IWU & DUFF AUC2017,,,9,-9,2017,,,Division 2,Division 2,1182.999480096803,1180.7718511793478,1212.61292425867,1151.1584070174806,0.5,0.3333333333333333,0.0,0.0
Opens,National,EUC2017,2017-02-25,Manly Ultimate,13,10,Nomads,4,10,Manly MUGs AUC2017,Nomads AUC2017,M,,9,-9,2017,21.0,,Division 2,Division 2,1159.7360572792086,1107.5143085986476,1181.8848646156289,1079.828299428122,0.0,0.0,0.0,0.0
Opens,National,EUC2017,2017-02-25,Fyshwick Unit,12,8,Ironbark A,9,10,Fyshwick Unit AUC2017,Ironbark AUC2017,,,3,-3,2017,,,Division 2,Division 2,1145.3577981659218,1136.82808046963,1163.9264329737557,1118.2594456617962,0.2,0.16666666666666666,0.0,0.0
Opens,National,EUC2017,2017-02-25,Bench Ultimate,13,11,Fyshwick University,1,12,Brunch Smashed AUC2017,Fyshwick University AUC2017,F,,12,-12,2017,5.0,,Division 1,Division 2,1523.085340050552,1218.16110343427,1548.664649830136,1192.5817936546862,0.75,0.6666666666666666,0.0,0.0
Opens,National,EUC2017,2017-02-25,Colony Pillage,15,8,The Rum Corps,14,11,Colony Pillage AUC2017,The Rum Corps AUC2017,F,,1,-1,2017,1.0,,Division 1,Division 2,1579.0784960646145,1199.5346775521157,1583.6087649425956,1195.0044086741343,1.0,0.4,0.0,0.0
Opens,National,SRC2017,2017-02-25,Adelaide Outbreak Apocalypse,5,11,Melbourne Colossus,15,11,Adelaide Outbreak Apocalypse AUC2017,Melbourne Colossus AUC2017,,,-10,10,2017,,,Division 2,Division 2,1200.0,1200.0,1168.5,1231.5,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Outbreak Mountain,15,10,Fresh Chilly,1,10,Outbreak Mountain AUC2017,Melbourne Fresh Chilly AUC2017,F,,14,-14,2017,10.0,,Division 1,Division 2,1500.0,1200.0,1529.2764480447058,1170.7235519552942,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Carnage,15,10,Ballarat Gold Diggers,6,12,Melbourne Carnage AUC2017,Ballarat Gold Diggers AUC2017,F,,9,-9,2017,8.0,,Division 1,Division 2,1500.0,1200.0,1520.2764480447058,1179.7235519552942,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Convicts,1,19,Phat Chilly,15,13,Convicts AUC2017,Phat Chilly AUC2017,,,-14,14,2017,,,Division 2,Division 2,1200.0,1200.0,1161.3,1238.7,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Quoll,15,12,Melbourne Wild Chilly,2,11,Quoll AUC2017,Melbourne Wild Chilly AUC2017,,,13,-13,2017,,,Division 2,Division 2,1200.0,1200.0,1236.9,1163.1,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Juggernaut,15,12,Quoll,7,12,Melbourne Juggernaut AUC2017,Quoll AUC2017,F,,8,-8,2017,9.0,,Division 1,Division 2,1500.0,1236.9,1519.2672658446706,1217.6327341553294,0.0,1.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Ballarat Gold Diggers,4,10,Phat Chilly,15,11,Ballarat Gold Diggers AUC2017,Phat Chilly AUC2017,,,-11,11,2017,,,Division 2,Division 2,1179.7235519552942,1238.7,1148.6933885864134,1269.7301633688808,0.0,1.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Convicts,3,12,Fresh Chilly,15,11,Convicts AUC2017,Melbourne Fresh Chilly AUC2017,,,-12,12,2017,,,Division 2,Division 2,1161.3,1170.7235519552942,1126.5660729333283,1205.4574790219656,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Adelaide Outbreak Apocalypse,14,15,Melbourne Wild Chilly,9,11,Adelaide Outbreak Apocalypse AUC2017,Melbourne Wild Chilly AUC2017,,,5,-5,2017,,,Division 2,Division 2,1168.5,1163.1,1190.7901938272626,1140.8098061727374,0.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Colossus,3,10,Hot Chilly,15,10,Melbourne Colossus AUC2017,Hot Chilly AUC2017,,,-12,12,2017,,6.0,Division 2,Division 1,1231.5,1500.0,1205.1555278722128,1526.3444721277872,1.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Hot Chilly,6,10,Melbourne Juggernaut,15,10,Hot Chilly AUC2017,Melbourne Juggernaut AUC2017,,F,-9,9,2017,6.0,9.0,Division 1,Division 1,1526.3444721277872,1519.2672658446706,1496.3695173547767,1549.2422206176811,1.0,1.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Outbreak Mountain,15,16,Phat Chilly,8,9,Outbreak Mountain AUC2017,Phat Chilly AUC2017,F,,7,-7,2017,10.0,,Division 1,Division 2,1529.2764480447058,1269.7301633688808,1546.8258680136305,1252.180743399956,1.0,1.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Fresh Chilly,11,9,Ballarat Gold Diggers,9,10,Melbourne Fresh Chilly AUC2017,Ballarat Gold Diggers AUC2017,,,2,-2,2017,,,Division 2,Division 2,1205.4574790219656,1148.6933885864134,1220.3712642606663,1133.7796033477127,0.5,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Carnage,15,10,Convicts,1,11,Melbourne Carnage AUC2017,Convicts AUC2017,F,,14,-14,2017,8.0,,Division 1,Division 2,1520.2764480447058,1126.5660729333283,1548.0129892542927,1098.8295317237416,1.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Wild Chilly,4,10,Melbourne Colossus,15,15,Melbourne Wild Chilly AUC2017,Melbourne Colossus AUC2017,,,-11,11,2017,,,Division 2,Division 2,1140.8098061727374,1205.1555278722128,1109.981832612649,1235.9835014323012,0.0,0.5,0.0,0.0
Opens,National,SRC2017,2017-02-25,Outbreak Mountain,15,14,Convicts,1,10,Outbreak Mountain AUC2017,Convicts AUC2017,F,,14,-14,2017,10.0,,Division 1,Division 2,1546.8258680136305,1098.8295317237416,1573.9296509149233,1071.7257488224488,1.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Fresh Chilly,3,11,Melbourne Carnage,15,11,Melbourne Fresh Chilly AUC2017,Melbourne Carnage AUC2017,,F,-12,12,2017,,8.0,Division 2,Division 1,1220.3712642606663,1548.0129892542927,1195.2155084831725,1573.1687450317866,0.6666666666666666,1.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Melbourne Juggernaut,15,10,Melbourne Wild Chilly,2,12,Melbourne Juggernaut AUC2017,Melbourne Wild Chilly AUC2017,F,,13,-13,2017,9.0,,Division 1,Division 2,1549.2422206176811,1109.981832612649,1574.6369355551014,1084.587117675229,1.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Quoll,12,12,Melbourne Colossus,15,12,Quoll AUC2017,Melbourne Colossus AUC2017,,,-3,3,2017,,,Division 2,Division 2,1217.6327341553294,1235.9835014323012,1199.4451115138102,1254.1711240738205,0.5,0.6666666666666666,0.0,0.0
Opens,National,SRC2017,2017-02-25,Adelaide Outbreak Apocalypse,4,12,Hot Chilly,15,14,Adelaide Outbreak Apocalypse AUC2017,Hot Chilly AUC2017,,,-11,11,2017,,6.0,Division 2,Division 1,1190.7901938272626,1496.3695173547767,1167.023661354577,1520.1360498274623,0.5,0.5,0.0,0.0
Opens,National,SRC2017,2017-02-25,Outbreak Mountain,15,10,Ballarat Gold Diggers,4,11,Outbreak Mountain AUC2017,Ballarat Gold Diggers AUC2017,F,,11,-11,2017,10.0,,Division 1,Division 2,1573.9296509149233,1133.7796033477127,1595.7149256617754,1111.9943286008606,1.0,0.0,0.0,0.0
Opens,National,SRC2017,2017-02-25,Phat Chilly,2,10,Melbourne Carnage,10,11,Phat Chilly AUC2017,Melbourne Carnage AUC2017,,F,-8,8,2017,,8.0,Division 2,Division 1,1252.180743399956,1573.1687450317866,1234.105053955027,1591.2444344767157,0.6666666666666666,1.0,0.0,0.0
